line_1,line_2,line_3,source
chanterelles,zig-zagging a little deeper,into the forest,herons_nest
after the harvest,grasshopper rasp,deep in the chaff,herons_nest
my birthday gift—,the song of cicadas,is enough,herons_nest
forked lightning,every wood ant,with an egg,herons_nest
autumn evening,butterflies,on a burst melon,herons_nest
harvest woodsong,the wind,lowers its voice,herons_nest
edge of sunset,the blues singer's,bottom note,herons_nest
sea oats,the salty koan of when,to bend,herons_nest
equinox,the scent of the sea,when the sea recedes,herons_nest
knowing,the truth of it,sea glass,herons_nest
light breeze,a falling leaf,drifts to the creek,herons_nest
alldaymoon,dustthickens,on the bricklayer's hands,herons_nest
heat lightning,a flash,of his old smile,herons_nest
August dusk—,I drive straight,into autumn,herons_nest
graduate school,the day our son turned,virtual,herons_nest
his shirt sleeves,rolled to my wrist,autumn solitude,herons_nest
preschool,the ragged opening,of a milk carton,herons_nest
beyond the reach,of my vocabulary...,autumn colors,herons_nest
abandoned farm,the way the windmill,carries on,herons_nest
gravel road—,the farmer's silo,freshly painted,herons_nest
old orchard,a ladder,collecting lichen,herons_nest
winding road,an Amish buggy,flush with apples,herons_nest
second summer,the heat wave of,woolly caterpillars,herons_nest
prayer rug,the pattern of the weave,pressed in his brow,herons_nest
grazing deer,morning light lifts,a veil of silence,herons_nest
maybe I too,have softened with age,moss-covered stones,herons_nest
frost grapes,the fragrance,of twilight,herons_nest
Thanksgiving—,the century-old barn wood,of our dining table,herons_nest
happy hour...,where his story starts,to fall apart,herons_nest
November,nothing between,wind and bone,herons_nest
fog at midnight,a suitcase wheeled,over cobblestones,herons_nest
all night,the snow adding,to itself,herons_nest
winter wind,forcing the envelope,through the slot,herons_nest
purple heart,the shadows of birds,returning home,herons_nest
bleeding sunrise,I mourn another,fetus with her,herons_nest
folding its wings,a crane settles,into paper,herons_nest
nevertheless,a mother,stillborn,herons_nest
no one knew,what she wanted,red spray of gladiolas,herons_nest
school play...,my debut,as a raindrop,herons_nest
big sky country,the painted lady,pumps her wings,herons_nest
frog din...,how quickly Jupiter,transits out of view,herons_nest
the only way,it could be done,nurse log,herons_nest
all day rain,a sock with a hole,at the bottom of the hamper,herons_nest
new coolness,the morning-glories,sleep in,herons_nest
cornfields,the phonics,of fall,herons_nest
each of us chooses,to be here,seaside goldenrod,herons_nest
fall fair,a final fiddle tune,then another,herons_nest
soft rain,the pendulum swing,of an old tire,herons_nest
small talk,a stranger and I,gently squeezing pears,herons_nest
halfway down,the rabbit hole,cheshire moon,herons_nest
in my lap,another chance...,fallen leaf,herons_nest
the closer,the louder,wildflowers,herons_nest
vanishing into the mizzle,the geese,briefly take me,herons_nest
cricket song...,a ribbon of country road,scarlet with autumn,herons_nest
autumn colours,the winter forecast,of a Woolly Bear,herons_nest
mountain silhouette,the peaks and valleys,of my heartbeat,herons_nest
hospice,we never knew,he could sing,herons_nest
the sound of a nail,struck off-centre,chill wind,herons_nest
pressed violet,the marriage losing,a dimension,herons_nest
forgiving,everything it touches,first snow,herons_nest
grey skies—,the lid keeps the warmth,in the pot,herons_nest
the muddle,of his justifications,noodle soup,herons_nest
winter marsh,the peepfrogs,all in my head,herons_nest
ice fishing...,the scent of clouds,at midnight,herons_nest
button box,three generations,under one lid,herons_nest
the world,as he saw it,grandpa's globe,herons_nest
snow bones,the half-life,of sorrow,herons_nest
small talk,waiting for the rain,to go deep,herons_nest
planting rice,the old woman's song,tinged with sorrow,herons_nest
morning forecast—,cloudy with occasional,forsythia,herons_nest
spring hike,things being born,inside me,herons_nest
lyrids...,the courting music,of long-eared owls,herons_nest
vows made,and unmade,returning lilacs,herons_nest
tornado watch,still there are,morning chores,herons_nest
origin story,a sapling cleaves,the boulder,herons_nest
tombstone,my shadow bends,to pick a wild violet,herons_nest
long walk home,black sassafras blossom,swept with bees,herons_nest
Mother's Day,the soft peaks,of whipped egg whites,herons_nest
summer pond,a beaver ferries across,sunlight,herons_nest
daylight,through the pruned hedge,his version of the truth,herons_nest
moving between continents,i relearn the sound,of collared doves,herons_nest
trying to describe,her absence,irises after a storm,herons_nest
a week of rain,the grass,cardinal high,herons_nest
disentangling,morning from dream—,patter of rain on the roof,herons_nest
dawn's light,the world where,we left off,herons_nest
following the way,of the river,the train,herons_nest
claiming the city,one thicket at a time,a charm of goldfinch,herons_nest
tranquil creek,the beginning as good,as the end,herons_nest
hayloft sunbeam,the bones and feathers,of a jay,herons_nest
long summer,the garden lizard's tail,opens a question,herons_nest
hot sand,my son asks me,about sin,herons_nest
pier's edge,the slapping water,breaks the sun,herons_nest
a bucket and shovel—,he builds,his world,herons_nest
record high,our secret spot,filling with tourists,herons_nest
campfire...,the stories,our shadows tell,herons_nest
high tide,a wreath of stones,captures the ocean,herons_nest
sea glass,what it means,to be a woman,herons_nest
summergarden,a spoonful of grandma's,good-for-yousoup,herons_nest
slicing the mango,a spill,of sunset,herons_nest
evening assembly,a bulbul sings,our prayer song,herons_nest
summer sky...,rippling the silence,a watersnake,herons_nest
height of summer,the quiet trickle,of a waterfall,herons_nest
dirt road,a cool breeze,behind the water truck,herons_nest
suddenly upon us,that slight chance,of rain,herons_nest
longing...,the present tense,of fireworks,herons_nest
waves slip over the jetty,his apology,will do,herons_nest
stickiness,of pinecones—,summer love,herons_nest
tree house,sharing secrets,with the stars,herons_nest
midsummer—,the boat tips,toward the whale,herons_nest
rusty spikes,along train tracks,my faraway dreams,herons_nest
a star or two,pleading with the night,the harmonica,herons_nest
Soft rain—,thebuzzandcrackle,ofaneonsign,herons_nest
dust in sunlight,my grandfather's typewriter,dings,herons_nest
underfoot,the moss' stewardship,of silence,herons_nest
falling in love,with the wind,cottonwood seeds,herons_nest
nightmare,holding,the ocean's roar,herons_nest
slow-moving rainstorm,the phlebotomist tries,a second vein,herons_nest
Queen Anne's lace,mingling together,all manner of wings,herons_nest
the mowed field,a few starlings,fall into place,herons_nest
late summer fair...,the bags of goldfish,beginning to darken,herons_nest
funnel webs,brushed with dew,starry night,herons_nest
fresh tomato,the water I poured,all summer,herons_nest
a weathered sign,along the dusty road,peaches,herons_nest
after rock-picking,moonrise,over the field,herons_nest
full moon—,the estuary geese share,their opinions,herons_nest
flickering lanterns,the night wind,waking ghosts,herons_nest
wind season,the old banyan sinks,another root,herons_nest
scree,the slow theatre,of lichens,herons_nest
singing bowl,the room swept clean,of sorrow,herons_nest
bank holiday,how should I spend,my time,herons_nest
nettle tea...,the taste of her,whisper,herons_nest
footprints in the frost,beforeweknow,winter,herons_nest
a lamp left on,in the orchestra pit,winter night,herons_nest
before dawn...,a dough hook wrestles,the batter,herons_nest
Sunday morning,a pancake on the griddle,opens its eyes,herons_nest
blizzard warning,another pinch of salt,in the soup,herons_nest
long winter,dried raisins rattle,in their box,herons_nest
cold spring,radishes and baby chard,in a chipped bowl,herons_nest
cherry blossoms,return of the lilt,in her voice,herons_nest
lilacs,in the library garden,whispering wind,herons_nest
strawberry season,the cedar waxwing's,bandit eyepatch,herons_nest
nothing to hide,from each other,sycamore,herons_nest
spring morning,the tugboat drags,its reflection,herons_nest
carp rising,into the sky,into...,herons_nest
last chapter,a trail of mist dissipates,into daybreak,herons_nest
summer solstice,pink hydrangeas,halfway to blue,herons_nest
space between,the sash and the sill,a cardinal's call,herons_nest
the shimmer,of silver on blue...,catch and release,herons_nest
roadside shrine,a pink pinwheel,at rest,herons_nest
meandering creek,how we used to talk,in the afternoons,herons_nest
drawn to the river,the zigzag descent,of desert bighorn,herons_nest
walking drunk,off the merry-go-round,my summer-sunned daughter,herons_nest
tumbleweed,another ranch,changes hands,herons_nest
rising tide,a little buddha,surrenders his castle,herons_nest
mast shadows,the slow pivot,of a summer day,herons_nest
dry grass,I twist my worries,into a tuft,herons_nest
crushed ice,a waning sunset,settles in gin,herons_nest
home again,the dirt road grasses,gone to seed,herons_nest
no hurry,lichen crusting,the rockface,herons_nest
after tree frogs,the night fills,with thought,herons_nest
crack of dawn,a crow,has something to add,herons_nest
Beforelight,divides from darkness—,morning fog,herons_nest
morning solitude,a wet-suited surfer,catches a wave,herons_nest
steam rising,from the coffee maker—,my late son's birthday,herons_nest
neither hot nor cold,the moon,in my tea cup,herons_nest
prognosis,cirrus clouds thinning,into nothing,herons_nest
a dying town,gives it one more try—,painted silos,herons_nest
at dusk,the hush of,a sleeper train,herons_nest
bedroom skylight,what the moon knows,of loneliness,herons_nest
the scar,where our garden was,hard rime,herons_nest
sunlit butterknife,across fresh toast,blackberry jam,herons_nest
a pine sapling—,in the shadows,of siblings,herons_nest
winter chickadee,from pinecone to pinecone,chatting to itself,herons_nest
last stitch,the sound of embers,shifting in the grate,herons_nest
never dies,that single silk,apology rose,herons_nest
winter sky—,the janitor's sweater,a darker blue,herons_nest
a long winter,the edible bones,of canned sardines,herons_nest
hotel pool,finding a lane,through the water wings,herons_nest
dawn light,bird calls crisscross,the piney woods,herons_nest
early spring—,the ragged edges,of my fingernails,herons_nest
sunlight in patches,l tie a bow,on her hospital gown,herons_nest
in the seed,so light...,the banyan,herons_nest
star magnolia scent,I exhale,toward Venus,herons_nest
bluing sky,a sudden swell,of post-rain robins,herons_nest
leafing out,the little harbor,fills with boats,herons_nest
morning moon,the bully calf,kicks up his heels,herons_nest
meadow gate...,the old cow looks back,at the barn,herons_nest
tractor ruts,winding through the hayfield,spring day,herons_nest
hazy sky,just enough star,for a wish,herons_nest
morning prayer,a hummingbird slips,into a blossom,herons_nest
wildflowers...,once again,the wind in my hair,herons_nest
misty garden,the timelessness,of the sundial,herons_nest
euonymus—,your name on the tip,of my tongue,herons_nest
lingering chill—,all the honey bees,in a ball,herons_nest
moonlit trail,a snail moves,between tulips,herons_nest
overturned stump,the secret life,of sowbugs,herons_nest
palm canyon,our pace the pace,of the rain,herons_nest
where the stream,narrows into song,flight of the swallowtail,herons_nest
paper wasp,no corset,thin enough,herons_nest
sunflowers—,so many reasons,why,herons_nest
overgrown cemetery—,the tangled roots,of my family tree,herons_nest
skimming stones,the promises,I cannot keep,herons_nest
ebb tide,I might have been,more generous,herons_nest
wind-blown beach—,agullsticksthelanding,onitsshadow,herons_nest
in a second-best vase,market sunflowers,already tired,herons_nest
fieldstone wall,the illness that grandmother,kept to herself,herons_nest
dusk settles,a line of birds,on the fence,herons_nest
twilight,deer draw,the hill's curve,herons_nest
quiet,until the doe's ear,pivots,herons_nest
potluck,the dialects,in every dish,herons_nest
late autumn,straightening the bent tines,of the old rake,herons_nest
how moonlight,becomes you—,wild cherry,herons_nest
lonely cemetery—,the evening passing,of a hillside flock,herons_nest
mountain echoes,not quite sharing,the truth,herons_nest
old book,a well-read silverfish,in the dedications,herons_nest
blue distance...,waking from a dream,of home,herons_nest
inside the greenhouse,frost feathering,the sky,herons_nest
first snowfall,a hare's paw prints,fill with moon-shade,herons_nest
longest night,our rain-soaked socks,rest side by side,herons_nest
fireside reading,the sounds,a book makes,herons_nest
to say died,or passed away,winter sky,herons_nest
the slow twist,of honey locust pods,winter sun,herons_nest
swirling of starlings,astudyin,longing,herons_nest
everything,black and white,woodpecker,herons_nest
a lone pine,stunted by the wind,I contemplate forgiveness,herons_nest
muddy hillock,a cow exhaling,a cloud,herons_nest
spring at last,a mannequin gets dressed,for the beach,herons_nest
spring tide...,stars circle,a beached hull,herons_nest
just another winter wander,thenthis,firstpoppy,herons_nest
spring wind...,daffodils,in our conversation,herons_nest
all-nightquarrel,theonandoff,of the sump pump,herons_nest
distant taiko—,the cherry blossoms,trembling,herons_nest
petal rain,across the handlebars,a fishing rod,herons_nest
wild strawberries...,the skim and dart,of white butterflies,herons_nest
spring woods,a swan's wings,soft-sawing the sky,herons_nest
tea ceremony,the slow rhythm of rain,in a birdbath,herons_nest
wild indigo,what is a hymn,but this,herons_nest
first buds,religion,enough,herons_nest
spring equinox,through new binoculars,the bluebird's blue,herons_nest
in love,a twist,of the kaleidoscope,herons_nest
spring thaw,the river takes,the river away,herons_nest
showing my kids,where I grew up,startled fawns,herons_nest
my son asks,if this is all a dream,cherry blossoms,herons_nest
before he knew,the meaning of weeds,Mother's Day bouquet,herons_nest
leaf to leaf,a wren scattering,raindrops,herons_nest
old growth forest,witch's hair tangled,in the snags,herons_nest
longest day,the shadow,of the unlit lamp,herons_nest
agoodstory,slowly reveals itself,ammonite,herons_nest
in her small palm,the earthworm,she names,herons_nest
old blue car,the patina on the back,of my father's hands,herons_nest
wedding day,the oak shakes,an early rain,herons_nest
dense swamp,the feather-light notes,of warblers,herons_nest
wildflower field,I go with,the first draft,herons_nest
howmuch,to tell,firefly,herons_nest
against the transparent,boundary of the night,june bugs,herons_nest
dawn,a herd shifts,the sun's edge,herons_nest
lifted from reading—,a set of waves,from a boat gone by,herons_nest
distant lightning,what if I outlive,my plans?,herons_nest
beach walk,billions of years,between our toes,herons_nest
purple urchin,the sea otter rolls,between bites,herons_nest
a nesting turtle's,return to the sea—,waving sea oats,herons_nest
chirping katydids,theharbour,sparkles,herons_nest
pressed flowers,what I choose to remember,about you,herons_nest
seaside cottage,the net hammock,remembers my shape,herons_nest
solarfarm,wildflowers,in the shadows,herons_nest
wild grass,his wish to die,alone,herons_nest
night jasmine,the fault,in a memory,herons_nest
soft paddle stroke,the slow step,of an egret,herons_nest
rough talk,a jellyfish drifts out,from under the pier,herons_nest
farewell pool party,the fading footprints,of my friends,herons_nest
evening calm,spreading over the lake,a blanket of clouds,herons_nest
rising fog—,the smell of,roasted yam,herons_nest
blackberries,among tombstones,a worn path,herons_nest
clinging burdocks,so many,regrets,herons_nest
driftwood...,just enough of me,holds on,herons_nest
blue hour,the sound from an oboe reed,whittled by hand,herons_nest
summer's end,a field tall,with grasshopper song,herons_nest
the days,I spend in a box,of arrowheads,herons_nest
graveside...,finding someone,who listens,herons_nest
advice for my son—,the tissue paper,protecting each pear,herons_nest
as if,for me alone,the blackbird's quiet song,herons_nest
wild storm...,a whole year's harvest,under the trees,herons_nest
a wolf spider,cranberry to cranberry,flooded bog,herons_nest
pulled from the cello,a one note,moon,herons_nest
whiskers,in a pocket,of moonlight,herons_nest
autumn,the sea's voice,is changing,herons_nest
photos,on the fridge—,i cook for one,herons_nest
small hours,a cricket insists,on sharing its day,herons_nest
a birch tree,a lichen,archipelago,herons_nest
with a swing of an ax,unlocking the scent,of time,herons_nest
slow dusk,one cricket,supplies the pulse,herons_nest
feast of Saint Francis,we learn to be better,companion animals,herons_nest
barren fields,tobacco barn leaning,in the rain,herons_nest
homeward bound,the road bends,into a full moon,herons_nest
night stillness—,the movement of her hands,as she lectures,herons_nest
pounding rain,adeeperlevel,ofquiet,herons_nest
marking the trail,of stolen lands,arrowheads,herons_nest
war report,my tea,over-steeped,herons_nest
doorbell,my costume makes,a pumpkin smile,herons_nest
cold moon,left behind pumpkins,in the community patch,herons_nest
morning frost,feathers the church bell,low flying geese,herons_nest
hard times,fishing nets tie,the village together,herons_nest
holding the weight,of whispered desires,crescent moon,herons_nest
the sound of rain,on my umbrella...,Remembrance Day,herons_nest
barely a moon,the dog curls,into my hollow,herons_nest
late November,some of the darkness,is crows,herons_nest
winter solstice...,I learn the word,palliative,herons_nest
long night,what the wind,can rattle,herons_nest
fallingsnow,voicesIfollow,through the plainsong,herons_nest
frost moon,a cloud of breath,from each cow,herons_nest
soft landing,apples in snow,at year's end,herons_nest
snow advisory,puffs of steam,from the oatmeal pot,herons_nest
snow on snow,an angel,loses her wings,herons_nest
dreams,of a snow day,I wake an adult,herons_nest
small talk,the sauce bubbling,on a low flame,herons_nest
wolf moon,the didgeridoo's drone,joins the drum circle,herons_nest
root vegetables,another winter,above ground,herons_nest
the full history,of hydrogen,winter stars,herons_nest
snowstorm,brewing,tea,herons_nest
overnight storm,a snowplow removes,the morning stillness,herons_nest
winterscape,learning to paint,the rain,herons_nest
icicles—,if this winter,had a mouth,herons_nest
the scrape,of a snowplow,dinner alone,herons_nest
freeze/thaw cycle,maybe it's better,to live alone,herons_nest
end of snow,at the tips of the pine,a blackbird's song,herons_nest
tipping earth,from the wheelbarrow,rain patter,herons_nest
season of light,she slowly unwraps,her symptoms,herons_nest
cremation service,a lifetime of anger,given to the wind,herons_nest
fading light...,a robin on one end,of the seesaw,herons_nest
early train...,all the backyards,waking up,herons_nest
hill town,every house,has its own cloud,herons_nest
study light,the snowflakes turn,to syllables,herons_nest
morning brew,the parrot first,to turn a phrase,herons_nest
long married,in the kitchen a spice bottle,never opened,herons_nest
steel clouds,the wind throws,itself at me,herons_nest
having shed its snow,bamboo,stillbent,herons_nest
beyond words...,helping you,to the mailbox and back,herons_nest
hospice book cart,bookmarks,between the pages,herons_nest
gauze clouds,becoming more see-through,tenth year of grief,herons_nest
this river,has been here before,and since,herons_nest
pussy willows,at the river's edge...,reason enough,herons_nest
morning breeze,the weave of her sari,gathers spring,herons_nest
father's shirt,the scent of sun,freshly ironed,herons_nest
the hard knocks,of the auctioneer's gavel,market lamb,herons_nest
salmonfly hatch,a nighthawk works,the river mist,herons_nest
thegraceofdeer,antleredinvelvet,nightfall,herons_nest
untying apron strings,the moon's arc slowly,escaping the earth,herons_nest
pulling stars down,from the ceiling—,my son no longer a boy,herons_nest
first dawn call,half-light unfolds,a blackbird,herons_nest
opening,the pool,a small frog,herons_nest
unfolding,the story of a migrant,sea water foam,herons_nest
driftwood washed ashore...,i caress,the woman in me,herons_nest
even,from the bank...,the river baptizes,herons_nest
early morning light...,sound of the tortoise,crunching lettuce,herons_nest
the path,that leaves the path,wild cherry,herons_nest
taken up by a hawk,every letter of,a snake's alphabet,herons_nest
prairie dog town,the curfew from,dusk to dawn,herons_nest
night waves,a nautilus carries,the sound to shore,herons_nest
her snores,gentle and steady,sunday morning rain,herons_nest
dandelion clock,half past the next,wind gust,herons_nest
ordering up,a memory...,diner jukebox,herons_nest
animal crackers,only a few more,elephants left,herons_nest
country drive,a little skunk,goes a long way,herons_nest
the bang,of the screen door—,Independence Day,herons_nest
passing rain,what if we could try,again...,herons_nest
low tide,footprints going nowhere...,...both ways,herons_nest
one pocket,heavier than the other,fossil beach,herons_nest
catching me,releasing me,a white cloud,herons_nest
plumping,her new pillow,the expectant mother,herons_nest
tumbling dice,which star,to wish upon,herons_nest
krill migration,humpback whales,scoop up the stars,herons_nest
sandstone wash,another shade,of lizard,herons_nest
my shadow,intheshape,of a snag,herons_nest
summer heat,harvesters,gathering dust,herons_nest
heat wave,the sagging jaws,of snapdragons,herons_nest
the ocean,summer in,summer out,herons_nest
midday heat—,we slow to the speed,of the youngest child,herons_nest
beach sand,brushed from my palms...,star nursery,herons_nest
cutting dead piñons,he spares the tallest,for the lookout jay,herons_nest
reaching into sunbeams,her hand comes back,with a pear,herons_nest
flea market,appraising,the crowd,herons_nest
her boyhood,the long lashes,on that blue-eyed doll,herons_nest
cedar forest,first cicadas,tuning tymbals,herons_nest
too big a splash,for a fish...,lake stars,herons_nest
all that moves,in the parched meadow,—the dozing calf's ear,herons_nest
taller than ripe corn,a boy on the shoulders,of his father,herons_nest
holding up,its end of summer,red dahlia,herons_nest
challenging,the definition of weed...,queen anne's lace,herons_nest
the beach stones,onmybureau,organizeareef,herons_nest
for their evening,of horseshoes,an old cow path,herons_nest
a hermit thrush,lowers his voice,dusklight,herons_nest
the gentle touch,of sunlight on stone,a tiny pair of shoes,herons_nest
Sunday drive,a box of warm apricots,in the backseat,herons_nest
what comforts her,comforting him—,autumn birdsong,herons_nest
next year's,dandelions,in the wind,herons_nest
crisp autumn air,a bee finds the lavender,drying in the attic,herons_nest
autumn rain,the turtle blinks,its amber eye,herons_nest
autumn rain,blue in the stems,of black raspberries,herons_nest
autumn breeze,neighbor children watch me,dismantle a swing set,herons_nest
feather tip grass...,the zugunruhe,of a caged swift,herons_nest
split milkweed pods,a sparrow preens,its flight feathers,herons_nest
christening,his new shoes,morning dew-drops,herons_nest
timber bowl,calloused hands caress,its smooth finish,herons_nest
mesh shoulder bag...,the musky-earth scent,of morels,herons_nest
tilted moon,the doctor calls me,complicated,herons_nest
