line_1,line_2,line_3,source
drought moon,another tear,in the window screen,modern_haikus
sky clearing,a wren wipes its bill,on a fence nail,modern_haikus
going deeper,for the silent treatment,autumn woods,modern_haikus
before long,I too will be a house finch,face down in the grass,modern_haikus
raking,again and again,the same conversation,modern_haikus
missing paint,where our headboard,used to bump,modern_haikus
stay at home orders,fried chicken,crosses the road,modern_haikus
charcoal sky,one breath away,there be dragons,modern_haikus
first light,the soft clink,of last night's dishes,modern_haikus
yogi berra,in the bicycle spokes,going all the way,modern_haikus
everything's,arranged she said,last wildflowers,modern_haikus
while I make soup,Buddga's lap,fills with snow,modern_haikus
stooping in photos,to hide his height,adopted child,modern_haikus
eating oysters,we come out,of our shells,modern_haikus
parked in weeds,my sister's old Ford,I learned to drive,modern_haikus
end of summer,i go fishing,in an old wound,modern_haikus
cyber monday,we inflate,santa claus,modern_haikus
river ice,i'm not the only one,alone,modern_haikus
not the only,one on the trail,pine creaking,modern_haikus
I return for,his funeral,the church has shrunk,modern_haikus
Frigid winter night—,"even the thieves stay at home,",except for those two.,modern_haikus
bittersweet in the snow,the sparrows have left behind,so many y's,modern_haikus
that leaky faucet,finally off my to-do list . . .,moving day,modern_haikus
winter storm watch,she doesn't say it,back,modern_haikus
her hair pin,marking the page,on chemotherapy,modern_haikus
female cardinal,my closet,of earth tones,modern_haikus
Mom reminds us,to watch our posture,hollyhocks,modern_haikus
autumn maple,my lesson plan,out the window,modern_haikus
harvest moon,the pull of the covers,across the bed,modern_haikus
soup kitchen,a hole in the sole,of Santa's boot,modern_haikus
Happy Hour,the fruit flies content,with the lemon,modern_haikus
to the woman,with earbuds,I mouth hello,modern_haikus
just the living,our Christmas card,list,modern_haikus
Indian summer . . .,my grandchild,gives me a new name,modern_haikus
setting sun,climbing higher,in her favorite tree,modern_haikus
budget talks,a spoonful of agreement,over gumbo,modern_haikus
my ex coming,toward us on the trail,smile lines,modern_haikus
tadpole pond,a man holds,his son's ankles,modern_haikus
rain drums,the watering can,now now now now now,modern_haikus
makeup counter,all the shades,of white women,modern_haikus
bitter wind,he peels the campaign sticker,off his bumper,modern_haikus
suspecting,it's the potato salad,family reunion,modern_haikus
skipping to,the end of the story,his arm-length tattoo,modern_haikus
breast feeding,under the tree,white magnolias,modern_haikus
hot whiskey,Father spills another,secret,modern_haikus
first day of school,her hand lets go,before mine,modern_haikus
swaying branches,finding the places,where we connect,modern_haikus
magic carpet,she makes room,for me,modern_haikus
beach sand shimmer—,her shed clothes,she doesn't fold,modern_haikus
busy cafe,our opened laptops,touch,modern_haikus
Two crows joust,for a cigarette end—,hard day,modern_haikus
now showing,at the old drive-in—,weeds,modern_haikus
opening,the north-facing window,a piano goes for a walk,modern_haikus
killing time,a slow drive,through the cemetery,modern_haikus
back room,dad breaking down,a shoebox,modern_haikus
dusting the books,he planned to read this summer,his widow,modern_haikus
trivia night,knowing more than,she lets on,modern_haikus
not where,I left it,my childhood,modern_haikus
the long arch of the bridge,recalling why,I left,modern_haikus
full moon,the retirement letter,I haven't sent,modern_haikus
drifting snow,the metroname set,to largo,modern_haikus
morning star —,looking for,the right word,modern_haikus
wet,into my pocket,the boathouse key,modern_haikus
school canceled,smile,on a new snowman,modern_haikus
too much water,for the drain . . .,it was never love,modern_haikus
through the window,after curfew,climbing rose,modern_haikus
winter night . . .,the cat takes the empty curve,of her waist,modern_haikus
tidal pool,the toddler steers his boat,around the rocks,modern_haikus
the link,to my friend's obituary,now dead,modern_haikus
Memorial Day,her blinds,still closed,modern_haikus
my son mans,the barbecue grill,Labor Day,modern_haikus
the blackbird's song,outside her window,she refuses drugs,modern_haikus
sanctuary city,Canada geese,on our grass,modern_haikus
prayer book,all the funeral cards,but hers,modern_haikus
property line,three generations,of rusted trucks,modern_haikus
after the parade,the snapping latches,of trumpet cases,modern_haikus
bits of garden,brushed from her knees,the far-away war,modern_haikus
moonbeam . . .,holding a picture,that can't hold back,modern_haikus
two days,before the election,turning the clocks back,modern_haikus
Home alone,I put on,my peasant dress,modern_haikus
seeing your mother,in you,dandelion seeds,modern_haikus
Central Park,a veteran's war story,still raw,modern_haikus
night snow,my father's handwriting,on the ornament box,modern_haikus
execution,and now a word from,our sponsors,modern_haikus
in broken English,my uncle's,card tricks,modern_haikus
the weight,of the trillium,I shouldn’t have picked,modern_haikus
learning a lost love,asked about me,autumn leaves swirling,modern_haikus
green pomegranate,not yet ready,to open up,modern_haikus
he leaves,the confessional,snowfall,modern_haikus
at twilight,the trolls stoke,a peach bonfire,modern_haikus
our age difference . . .,wind ripples overtake,the river's flow,modern_haikus
raindrops on the lake,widening my circle,of friends,modern_haikus
bithday cake,the cowboys and cowgirls,drop their guns,modern_haikus
mile after mile,at the end of the longest log,the dirty red flag,modern_haikus
summer cabin—,a shelf of old titles,with their spiders,modern_haikus
forcing apricot,branches to bloom,another kukai,modern_haikus
Holy Thursday . . .,washing my feet,again,modern_haikus
yanking weeds,out of my garden . . .,the things he said,modern_haikus
chysalis,a flutter inside,my ribcage,modern_haikus
roadside diner,the soldier buys himself,some time,modern_haikus
night descends,through the center,of the tire swing,modern_haikus
one size,fits all,Earth Day,modern_haikus
all I asked was,where you're coming from,winter gale,modern_haikus
easter sunday . . .,more of the tatoo,is revealed,modern_haikus
light snowfall—,the boy who always,needs a hug,modern_haikus
evening glow—,little leaguers line up,to shake hands,modern_haikus
uprooted tree,all the apples,I can carry,modern_haikus
rock tumbler . . .,my children point out,my flaws,modern_haikus
ferns —,the repeating pattern,of loss,modern_haikus
chocolate shop window,the child leaves,both handprints,modern_haikus
what we carry,what we let go,bird nest,modern_haikus
Car wash,if only I could,paint like that,modern_haikus
early frost,the neighbor rakes leaves,back into our yard,modern_haikus
basil patch,she pinches back,the morning,modern_haikus
a year gone,taking his truck,for a ride,modern_haikus
falling leaves,dipping into,our savings,modern_haikus
on the swing set,her dads at her back,spring sky,modern_haikus
comet tail,the length of my,lifeline,modern_haikus
before you,the wildflowers,just wildflowers,modern_haikus
a breath,through each foot,sand dollar,modern_haikus
old enough,my ears,have tassels too,modern_haikus
knitting by the window,she was once,a mermaid,modern_haikus
teacup dregs,we choose our words,with care,modern_haikus
shore bird,the spindly legs,of my math teacher,modern_haikus
coaxing,one more day,from the raspberries,modern_haikus
emergency exit,the kite my mask makes,when I take it off,modern_haikus
dappled stream,a bass in and out,of my dreams,modern_haikus
the sun and moon,if I could choose,his first tattoo,modern_haikus
all my eggs,in one basket,Easter,modern_haikus
she broke my heart,in tenth grade,not mentioned in the obit,modern_haikus
snow-tipped pine,living my life,in three-quarter time,modern_haikus
discovering,which side I'm on,garden walls,modern_haikus
in the snow,our street curves,in a new direction,modern_haikus
shaving mirror,every day I miss,his stupid questions,modern_haikus
reading Walden with,new eyes,pandemic,modern_haikus
deepening winter,the turbulent flight,to see dad,modern_haikus
late summer tomatoes,some debts,are never repaid,modern_haikus
the stories,we tell ourselves,mockingbird,modern_haikus
erasing all the marks,library book,on Zen,modern_haikus
razor clams,the sharpness,of her tongue,modern_haikus
at each end,of the fishing line,arching backs,modern_haikus
new moon . . .,the privacy of a river,of stars,modern_haikus
your past selves,in the you I love,open peonies,modern_haikus
every year,field stones,the first harvest,modern_haikus
the milky way they have,a printing press,down there,modern_haikus
evening ballgame,behind the Stars & Stripes,a Pride flag,modern_haikus
Crackerjacks —,the prize,of feeling ten again,modern_haikus
second strike —,high above the infield,a tern changes course,modern_haikus
bases loaded —,a steady stream,of inbound planes,modern_haikus
chat on the mound . . .,the fan cam,catches a kiss,modern_haikus
seventh inning stretch,the long whistle,of a freight train,modern_haikus
the road home,stretches into twilight . . .,ex-convict,modern_haikus
hay-scented ferns,my childhood,as a horse,modern_haikus
love letter,she spots a few words,misspelled,modern_haikus
louder,in parts of the room,the memory,modern_haikus
school's out,a kid pulls crawdads,from their hidey-holes,modern_haikus
map lichen,the long and winding way,to forgiveness,modern_haikus
first date in a while —,a cicada leaves,its shell,modern_haikus
autumn clouds,cottontails scoot,ahead of a combine,modern_haikus
spring morning,the woodpecker,off its meds again,modern_haikus
when she stopped,being a friend,pears hard as stones,modern_haikus
crematorium,the resurrection,of face masks,modern_haikus
afternoon moon,she opens her set,of soft pastels,modern_haikus
covid moon,attaching her,first toe tag,modern_haikus
spider lilies,the road not taken,no longer there,modern_haikus
canceling,the baby shower,blood moon,modern_haikus
now in,on the secret —,budding crocuses,modern_haikus
water seeps out,from the rusted pail—,his lie,modern_haikus
Mountain shadow,the snail's,other horn,modern_haikus
On the table,with the crucifix,a skipping stone,modern_haikus
recycle bin,slipped between seed catalogs,childhood drawings,modern_haikus
last call,a hint of lysol,in the chardonnay,modern_haikus
the last wild strawberry —,my season too,must end,modern_haikus
whispering oxygen,snowflakes sideways and up,past the window,modern_haikus
hometown,just big enough,for a stranger,modern_haikus
an orphan earring,in the catch-all drawer,summer doldrums,modern_haikus
end of summer,more bills and fake,bacon bits,modern_haikus
finishing packing,behind the wall,piano scales,modern_haikus
stepping stones,covered in moss,too late to forgive,modern_haikus
having said it,I take a long walk,in the cold,modern_haikus
first snowman,my toddler sticks the carrot,below the belt,modern_haikus
evening fire,an old song crackles,on the turntable,modern_haikus
overcast afternoon,the lifeguard bends,unbends her leg,modern_haikus
beach breeze,readjusting the umbrella,in my cocktail,modern_haikus
srokte raehb . . .,teh cregaveir fwolols,hre maennig,modern_haikus
still dark —,I wait for my body,to catch up to itself,modern_haikus
jury duty,we take a vote,on lunch,modern_haikus
tide darkens,some of the driftwood,the other marriage,modern_haikus
kicking the tires,to stay warm—,hearse driver,modern_haikus
small town—,the few who come to,a full stop,modern_haikus
in the midst,of killings,the flowers return,modern_haikus
afternoon breeze,across the pool,my book a sail,modern_haikus
the bar by the hospital,falling down,all twelve steps,modern_haikus
a glass of wine,with the departed,winter twlight,modern_haikus
on the desk,of the guidance counselor,unicorn statue,modern_haikus
summer lockdown,an excavator digs,where the statue was,modern_haikus
selling the house,we quietly unmark,the pets' graves,modern_haikus
postal stamps . . .,the zig-zag edges,of our marriage,modern_haikus
holding the line,held by it,protest march,modern_haikus
April breeze,the tennis courts,without nets,modern_haikus
shooting star,we don't shake hands,anymore,modern_haikus
hanging on,the rear view mirror,face mask,modern_haikus
hospital wait—,folding the shadows,into a paper crane,modern_haikus
another stair,the weight of my daughter's,college bags,modern_haikus
a girl skipping,with electric cord,blossom wind,modern_haikus
refugee girl,the red wagon without,a handle,modern_haikus
newly arrived,the migrant is hired,to pull invasives,modern_haikus
stretching,your buttonhole,summer love,modern_haikus
frozen earth,the poems i didn't read,to her,modern_haikus
gravesite chat,a pair of tombstones,lean in,modern_haikus
hard frost,the hunter walks beside,the blood trail,modern_haikus
as they pass,touching for a moment,two ants,modern_haikus
narrowing path,the brush of hands,as we pass,modern_haikus
hike break,a spiderweb breathes,on the creek bank,modern_haikus
Halloween,I put her apron,on,modern_haikus
on our way home,from the ICU,branches broken by snow,modern_haikus
last of the,woodpiile,. . . a crocus,modern_haikus
beanstalk,her gardening blog,attracts a troll,modern_haikus
crabtree shade,what would it cost me,to be nicer,modern_haikus
eroded cliff,the slow emergence,of her past,modern_haikus
a vacant playground,the drinking fountain,runs and runs,modern_haikus
the low necks,of horses,steady rain,modern_haikus
blizzard . . .,one phone call,after another,modern_haikus
long past Christmas,the forgotten angel,in an upstairs window,modern_haikus
autumn rain,I heap more dirt,on the shoebox,modern_haikus
spring begins,all of my angles,obtuse,modern_haikus
war memorial,the sun rises,on plastic flowers,modern_haikus
driving home,the twists and turns,of our conversation,modern_haikus
weighing her options,the abandoned,pot of basil,modern_haikus
abandoned church,a few sheets of gospel music,on the music stand,modern_haikus
old red wagon,pots of all the plants,I forgot to water,modern_haikus
The respirator sounds,from the next room—,cloud-muffled moon-glow,modern_haikus
wind through the pines,I add his death date,to the family tree,modern_haikus
cut down,in their prime . . .,funeral flowers,modern_haikus
first day of yard work,working out kinks,in the garden hose,modern_haikus
tulip festival,migrant workers,pull the weeds,modern_haikus
firewood coming,off a truck—,another language,modern_haikus
holding the warmth,as the sun goes down,sanctuary city,modern_haikus
her birthday,still on the calendar,last leaves,modern_haikus
the night sky,drunk with stars,we're pregnant,modern_haikus
the wheat bends—,her last word,stay,modern_haikus
censor's strikes,in dad's war posts—,silverfish,modern_haikus
spring fever,there's a pill,for that too,modern_haikus
dry wind . . .,shadows in the ribcage,of a foal,modern_haikus
egg on his face,the Confederate general's statue,pelted by protesters,modern_haikus
the freckles,on her nose,tiger lily,modern_haikus
star,in the pasture pond,Christmas Eve,modern_haikus
roughhousing,at the pool's edge,a gang of sparrows,modern_haikus
Easrly spring moon—,she never birthed,those fantasy children,modern_haikus
snow leopard,a brief sighting,of our teen,modern_haikus
aspen wind,we applaud the dance,of the deaf girl,modern_haikus
coal country,a religious tract stapled,to a phone pole,modern_haikus
cratered moon . . .,what I harbor,has barnacles,modern_haikus
no more dandruff,on his blue suit,open casket,modern_haikus
election gloom,around the table—,the wishbone,modern_haikus
moon shadow,the arch,of a dumpster diver,modern_haikus
Godzilla,my son left him here,with us,modern_haikus
tackle box,some of the hooks,he left behind,modern_haikus
hospital alcove,at the foot of a saint,a paper cup,modern_haikus
wading out—,the more and more of me,no one can see,modern_haikus
again I pull,what would have been,her weeds,modern_haikus
benign—,my breasts once again,just breasts,modern_haikus
no longer,second base,dead mimosa,modern_haikus
deployment—,that tree had leaves,this morning,modern_haikus
flash flood warning,my ex,drunk dials me,modern_haikus
everyone's a liar,I toss my scoop,of dirt,modern_haikus
first day of school,most of the globe,is blue,modern_haikus
more rain,than the lawn can hold . . .,campaign promises,modern_haikus
in their dark glass tank,the lobsters,orbiting the sun,modern_haikus
dressing room,the weight of the wedding gown,she steps into,modern_haikus
the shadows,of returning geese . . .,Ground Zero,modern_haikus
bomb in the Metro,petals in a,clear glass bowl,modern_haikus
clear night skies,your quiet search,for my birthmark,modern_haikus
blind date,the way she says,tomato,modern_haikus
New Year's Eve,he kisses everyone,but me,modern_haikus
fish kill,they decide against,children,modern_haikus
in another world,what would become of us,paper clips,modern_haikus
what's in it,for me,refrigerator light,modern_haikus
summer ends,deflating,the whale shark,modern_haikus
grand jury,the oyster's,fabricated story,modern_haikus
night without stars,so much talk,of suicide,modern_haikus
high school diary—,unable to find the girl,I thought I was,modern_haikus
am I holding,them correctly?,worry beads,modern_haikus
that pine tree,years ago we refused to cut,each other down,modern_haikus
half moon . . .,the women missing,from history,modern_haikus
Released by the fence,around the missile silo—,the farmer's bladder,modern_haikus
the song I pick up,where the stranger leaves off . . .,spring warmth,modern_haikus
swimming hole—,the first,dare,modern_haikus
ribbon of sand,left behind by the tide,summer love,modern_haikus
her suicide . . .,the church full of people,I think I know,modern_haikus
summer evening,my mother helps me,with the dishes,modern_haikus
ladies luncheon,too much honey,in the tea,modern_haikus
deboning the bass,for supper for one,autumn dusk,modern_haikus
his best lure,passed to me,this floating world,modern_haikus
tough choices,in the jury room—,lunch menus,modern_haikus
fog clinging to the hills,the dresses,I never wear,modern_haikus
Ash Wednesday service—,wearing the heels,that pinch,modern_haikus
