line_1,line_2,line_3,source
looking at her,childhood photos,my girlfriend older than me,tempslibre
morning sun -,the long shadows,of little stones,tempslibre
crescent moon -,she is cutting her nails,in the garden,tempslibre
night of stars,in the next room,my sick mother,tempslibre
new year's balloons -,the pregnant woman,staring at the mirror,tempslibre
cloudy sunset -,a lone traffic light,turns red,tempslibre
soccer championship,the winter moon,on the stadium,tempslibre
christmas lights,the silhouette of trees,in the dark,tempslibre
winterscape -,a traffic sign in the snow,points to no way,tempslibre
glass tower -,the moon is part,of the west facade,tempslibre
crowded bus,every passenger breathes,the same autumn,tempslibre
new yellow car,autumn leaves,on the windscreen,tempslibre
bus window -,she travels with the full moon,on her head,tempslibre
thicker dust,on a little Buddha -,early autumn,tempslibre
sidewalk cafe,on the empty seats,fallen leaves,tempslibre
dogs barking,perhaps I was a cat,in other life,tempslibre
scent of rain,in the open window,no mosquito,tempslibre
autumn wind,a line of red traffic lights,becomes sunset,tempslibre
subway window,she and her reflection,cry at the same time,tempslibre
20 million city,another street lamp,into the night,tempslibre
a line of traffic lights,change from red to green,summer full moon,tempslibre
apartment tower,a new letter,for the dead neighbor,tempslibre
washing my clothes,somebody looks at me,crescent moon,tempslibre
cloudy day,a penny shines,on the sidewalk,tempslibre
open window,the sound of rain,interrupts my dream,tempslibre
summer rain,another me walks home,under me,tempslibre
flea market,a still fly is part,of the old clock,tempslibre
with each sip,from the bottle,moonlight on my face,tempslibre
fallen leaves,some stars shine,in the sky,tempslibre
unemployed,but I'm writing haiku,about the rain,tempslibre
waiting room,stars appear,one by one,tempslibre
a line of ants,the empire state building,in the distance,tempslibre
pan-fried trout,I learn something new,about my father,tempslibre
long before I came,long after I leave,blossoming pear,tempslibre
falling star,another woman says,'me too',tempslibre
winter solstice,the growing darkness,on death row,tempslibre
a hearse leaves,the prison compound,cold moon,tempslibre
summer heat,dragonflies escape from,the convict's pencil,tempslibre
Independence Day,watchtower guards,locked and loaded,tempslibre
the convict's debt,nearly paid in full,waning moon,tempslibre
wind chill,a few crows among,the homeless,tempslibre
year end,a convict's calendar,full of X's,tempslibre
visiting day,blue mascara on,a convict's wife,tempslibre
waning moon,a faux cease-fire,in Aleppo,tempslibre
Pearl Harbor Day,the Koi pond littered,with fallen leaves,tempslibre
the snake's dead skin,left in the driveway,Mustang Cobra,tempslibre
amid war,and rumors of war. . .,another grandchild,tempslibre
spring cleaning,long neglected baseball cards,see the light of day,tempslibre
long night,the waterfall's,icy silence,tempslibre
gale winds,the stone Buddha,remains centered,tempslibre
windstorm,the berry stains,on the path,tempslibre
pissing in a puddle,droplets of moonlight,on her sandal,tempslibre
indian summer,the neighbor's daughter sunbathes,beside their empty pool,tempslibre
chill night,new fallen pear blossoms,glow in the moonlight,tempslibre
fresh cut lawn,a dozen fireflies,inspect the job,tempslibre
mother’s day,he laces,her shoes,tempslibre
breakup —,my daughter's voice cracks,across two continents,tempslibre
just friends —,a taste of summer,in her kiss,tempslibre
fired—,at last i wake,on time,tempslibre
day of blossoms,a nurse erases,mother’s name ,tempslibre
mother's day,a nurse unties,the restraints,tempslibre
mother gone,moonlight shimmers,the last white rose,tempslibre
moving day —,the kids pack up,my first marriage,tempslibre
morphine drip,my father asks me,for more time,tempslibre
stonehenge—,scent of lemon,from the hotel soap,tempslibre
waiting the morning,the sun at the tip of the branches,of the maple tree,tempslibre
changing winds,bring up your kite,and the Dow,tempslibre
summer solstice,longer days,shorter writings,tempslibre
spring wind,scattering flowers of the magnolia,her nineteen years,tempslibre
bowing one's head,passing under the lilac,heavy with snow,tempslibre
last note,before she takes the bus,cold Winter morning,tempslibre
passing --,between the shadow of the maple,and the moon,tempslibre
last moon,before irradiation,Hiroshima ,tempslibre
frost moon --,again a single line,on the pregnancy kit,tempslibre
the same prayer,from years ago,day moon,tempslibre
another year,away from home,plum blossoms,tempslibre
winter sunset,the drill of an oil rig,breaks the reverie,tempslibre
sugarless tea,the discord that is yet,to be resolved,tempslibre
calm lake,an egret fishes,out the moon,tempslibre
autumn moon,I grow old,with my shadow,tempslibre
deep winter,the sound of gran’s,knitting needles,tempslibre
no mention of,the burnt taste,mother’s recipe,tempslibre
tourist season,coins glittering,beneath the koi,tempslibre
fresh autumn breeze,or the advance of age?,forgotten tea...,tempslibre
moonless night,a cereus cactus opens,solstice blooms,tempslibre
sudden gust,carp leap from poles,to gulp the air,tempslibre
chill wind,beneath the monk's robe,a naked monk,tempslibre
screen of pine,white silence glides,on egret wings,tempslibre
sand through fingers,a tracery of palms,on midnight blue,tempslibre
silken winds,i am wrapped in quietness,of cottonwood seeds,tempslibre
back and forth,grinding ink slowly,the weight of my words,tempslibre
fogged window,a blend of green and gray -,hot tea with milk,tempslibre
morning fog,dissolving cypress -,sfumato,tempslibre
slice of moon,the scent of jasmine spills,into thick darkness,tempslibre
grave stone ,over which a white moth passes -,spring moon,tempslibre
war news⁠—,whenever i pass,the crow on the ledge,tempslibre
evening snow -,in the barbed wire fence ,one blue feather,tempslibre
reflected faces,in the pawn shop window -,silence of the red guitar,tempslibre
returning ,to the great earth -,even plum blossoms,tempslibre
all day rain -,i add more flour ,to the kneaded dough. ,tempslibre
insomnia,cottonwood leaves murmuring,on a windless night,tempslibre
bare feet,summer,at the door,tempslibre
insomnia,between here and the hills,the faint sound of a train,tempslibre
no thinking,just breathing,moon through the pine,tempslibre
march snow...,the scent of lilacs,pressed in my book,tempslibre
windless night,a deeper silence,after the train,tempslibre
december night,now and then,the owl's soft voice,tempslibre
the lonely feeling,of dylan's harmonica,evening star,tempslibre
evening train,going the same way,as the sun,tempslibre
old roses,blooming again,september evening,tempslibre
cottonwood leaves,the quiet way,they soften the night,tempslibre
insomnia,a light flickers,in the foothills,tempslibre
chinook wind,the softness of a day,in february,tempslibre
long day over,at last,alone with the wind,tempslibre
insomnia,a lone light ,on the mountainside,tempslibre
nightfall..,my thoughts linger awhile,on the old days,tempslibre
winter night,old trees,filled with stars,tempslibre
as if,summer had no end,wildflowers,tempslibre
all-day headache . . .,watching the moon rise,with the wind,tempslibre
winter pond,my stone ricochets,into the reeds,tempslibre
echoes,two owls somewhere,in the night,tempslibre
insomnia,the sound of a goose,lost in the night,tempslibre
the lonely feeling,of dylan's harmonica,evening star ,tempslibre
the time it takes to learn,how to be silent,blue mountains,tempslibre
homesick,a hot wind rattles,the cottonwood leaves  ,tempslibre
after the fireworks . . . the thunder moon,,,tempslibre
huddled cows,their steam thickens,the valley mist ,tempslibre
gaza,murdered children,my faded lilacs,tempslibre
alep bombings,at my bathroom window,the misted full moon,tempslibre
schedule screen,the spider spinned its web,between two tramways ---,tempslibre
in the greyness,the rosé bottle,of the homeless ---,tempslibre
subway station,ads as only light,the day after the bombs,tempslibre
leap year,looking a her twins,a squinting woman ---,tempslibre
less cars,in front of the brothels,valentine's day ---,tempslibre
on my smartphone,mount fuji in the sunset,morning coffee ---,tempslibre
after the bell,just the rain on the umbrellas,ashes to ashes ,tempslibre
for just a moment,the warmth of our tears,cold rain,tempslibre
morning run,observing me at the observatory,the fox,tempslibre
the evasive look,of a teen without make up,first buds,tempslibre
evening bus,this man in the reflection,is it me?,tempslibre
her cooled tea,in the middle of the table,first snow --- ,tempslibre
evening tram,her diamond on her nose,a star --- ,tempslibre
more piercing,in the autumn mist,the blackbird's song,tempslibre
asleep,a golden dot on her ear,bus forty one,tempslibre
emptied fountain,carried by the autumn wind,silt scent,tempslibre
the silence,of the april rain,after the shower,tempslibre
back to school --,still a bit of high tide,near sand dunes,tempslibre
around the moon,"slowly, the haze",above the crickets,tempslibre
watching the moon,moving behind the oak,Summer wind,tempslibre
autumn freshness,nourishing a child,of eighty years old,tempslibre
saturday morning,under the japanese cherrytree,a pink puddle,tempslibre
the Big Dipper,moving on the water,spring rain,tempslibre
spring night,we're chatting peacefully,near the violets,tempslibre
ex-girlfriend,with a baby carriage,spring rain,tempslibre
tonight,a moorhen perturbing,the great bear,tempslibre
first snow,a loser teenager dead,from an overdose,tempslibre
new moon,nothing else on the lake,than the calls of the moorhens,tempslibre
low clouds --,listening to the snow,sleepless night,tempslibre
apple pie scents,my dead grandmother cooking,in a photo album,tempslibre
haïku,written in the underground,unreadable,tempslibre
friday evening,the silence of the office,on my keyboard,tempslibre
after the fireworks,he marvels,at the moon,tempslibre
5 o' clock am,behind the thick fog,fresh bread scents,tempslibre
in the rear-view mirror,the loving look of the mother,her reciting daughter,tempslibre
in the empty schoolyard,only plastic bags,are going the rounds,tempslibre
the smell of her hands,on the neck of the bottle,drinking greedily,tempslibre
a pen in a hand,she's counting the empty bottles,I'm counting her assets,tempslibre
opening the window,and smelling the white lilac,bloomed last night,tempslibre
late season,christmas lights illuminate,a golden buddha,tempslibre
"a hint of blue, still",in the passing of these clouds,— sip of coffee,tempslibre
bedtime --,trying not to count,maimed solders,tempslibre
indian summer,the viagra stock,deflates,tempslibre
pregnant again . . .,the fluttering of moths,against the window,tempslibre
for a moment,the gull in the air,is very white,tempslibre
"Fly,",be afraid!,No Buddhists in this house!,tempslibre
spring breeze--,between pages of an old book,a crushed rose,tempslibre
veteran's day,photo of the uncle,I never met,tempslibre
the cries,of homecoming geese,louder,tempslibre
pale overcast,the darker shadow,of returning geese ,tempslibre
my wife,home from hospital,hibiscus in full bloom,tempslibre
My 72nd winter,the deepening cold,in every room ,tempslibre
month-old obit,of an ex-girl friend,unexpected rain,tempslibre
back and forth,across our conversation,fireflies,tempslibre
death watch ended,the rain storm,begins,tempslibre
my wife,home from the hospital,hibiscus in full bloom,tempslibre
at opposite ends,of the reading room,ex-lovers,tempslibre
despite my assurances,my wife's makeup,thicker,tempslibre
somewhere,behind the old barn,end of the rainbow,tempslibre
thunderstorms,all day long,broken promises,tempslibre
hot chocolate,the scent stronger,this cold night,tempslibre
late night rain,the crickets finally,silent,tempslibre
nothing,in our bedroom,but moonlight ,tempslibre
sunset traffic,slowly down the hill,into darkness,tempslibre
at the crossroads,no wind to give,a direction,tempslibre
smalltown street,sunset and moonrise,at opposite ends,tempslibre
slow afternoon,the rain changes,to drizzle,tempslibre
home alone,the cold,of an autumn rain ,tempslibre
silent night,the fog thick,at every window,tempslibre
late night traffic,the swirl of leaves after,the last bus,tempslibre
while making love,the last icicle,falls,tempslibre
bad news from home,the cold morning,colder still,tempslibre
voices,in the cemetery,remembrance day,tempslibre
after the argument,the storm clouds also,break up,tempslibre
pouring rain,yet another question,without an answer,tempslibre
graveside sermon ended,the last leaves blown from,a nearby tree,tempslibre
63 today,nothing from here to the horizon,but fair weather clouds,tempslibre
start of a new season,a book loaned,to a new friend,tempslibre
summer solstice    the wind still cold,,,tempslibre
right after,morning prayers,distant thunder,tempslibre
mountain storm,somewhere during its echo,the thunder ends,tempslibre
60 today,the full moon,still rising,tempslibre
somewhere,in the graveyard,birdsong,tempslibre
also,in the fog,the scent of autumn,tempslibre
cold dark night,the warmth of her hand,in mine,tempslibre
snow and rain mixed,my angry words,and her tears,tempslibre
death,of an old friend,my cup empty,tempslibre
behind the man,in the open doorway,nothing but darkness,tempslibre
the gap,between the mountains,filled with fog,tempslibre
grain silos,long shadows,on fresh snow,tempslibre
rusted wire,on a weatherworn post,wisps of gray fur ,tempslibre
backyard BBQ,at the end of his rope,a barking dog ,tempslibre
remembering summer,how brittle the leaves,underfoot,tempslibre
summer rain,the smell of earth,in the air,tempslibre
watching clouds,the white petals,of a crushed crocus,tempslibre
smells of spring,adrift in the morning air,bubbles under ice,tempslibre
after the rain,moon and stars,underfoot,tempslibre
70 mph,the infant snores,a bit slower,tempslibre
winter night,finding my pajama bottoms,on my wife,tempslibre
putting a cork,in last night's wine,late autumn,tempslibre
the glass jar,full of fireflies,bedtime,tempslibre
evening sky,counting some fireflies,more than once,tempslibre
smell of rain -,soft ridges of mint leaves,oil my fingers,tempslibre
blackbird song -,the name of a daughter,i'll never know,tempslibre
November fog;,not a tree,to be seen.,tempslibre
Purple loosestrife;,pale in the,lingering mist.,tempslibre
A cold morning;,the pink of tulips,through the mist.,tempslibre
after the storm,my grandaughter carrying,the scent of rain,tempslibre
Harvest moon,dancing with my husband,in the living room,tempslibre
a movement of deer,into twilight,suddenly spring,tempslibre
fireflies competing,with a full moon,summer solstice,tempslibre
fading,right before my eyes,morning moon,tempslibre
the way grass parts,as the pheasant passes,spring's end,tempslibre
moonlessness--,so many ways,I want to touch you,tempslibre
earth day--,even the shadows at dusk,smell green,tempslibre
light rain,"on sweet, sweet clover",late summer's dusk,tempslibre
winter rain,the confusion in her voice,all over again,tempslibre
morning moon,filling up my window,autumn's end,tempslibre
summer's end,the tenderness,of light,tempslibre
after loving-making,scent of wild clover,through the window,tempslibre
after the dream,the scent of approaching rain,in the dusty air,tempslibre
the way,the pears sit up,in the bowl,tempslibre
park bench,she puts acorns,in his ears,tempslibre
supermarket,on a Sunday morning,Stairway to Heaven ,tempslibre
roadside,a strip of painkillers,empty,tempslibre
before the bridal party,unfashionably early,rain arrives ,tempslibre
a crack,in the pavement,yellow freesias,tempslibre
piece,of a butterfly wing –,autumn chill,tempslibre
a crow,on the wire,silent rain,tempslibre
old park bench,i touch our initials,each time i pass,tempslibre
new housing--,hammer and saw replace,the dove's coo,tempslibre
christmas services,a cellular phone rings out,handel's messiah,tempslibre
no island,in the bay today,morning fog,tempslibre
stop sign,thru the bullet holes,ghetto moon,tempslibre
desert garden,frosted lettuce leaves,in the pink dawn,tempslibre
iceman,last night's freeze on,the clothesline ,tempslibre
winter rain ,the sheets where she slept ,grow colder,tempslibre
giant moon. . .,the bark of a dog echos,over the fence,tempslibre
crystalline sky,the pioneers left no clue,which trail to take,tempslibre
willow scent,a kingfisher hangs,in the air,tempslibre
desert heat-,smiles along the narrow road,to the deep north,tempslibre
spring trek,a rusted snowplow,at roads' end,tempslibre
sweet basil,dried snail tracks crisscross,the window box,tempslibre
Arizona,"road stop rest, the dog sniffs",yellow snow,tempslibre
a moth flutters,over the candle flame . . .,damned idiot,tempslibre
still water . . .,the undercurrent,in her voice,tempslibre
November winds,the dog finds dead birds,in the hedge,tempslibre
desert cemetery-,my sister in law,does not weep,tempslibre
highway fog-,the honking of geese,homeward bound,tempslibre
desert wind-,iron and copper flavor,in my coffee,tempslibre
spring day-,the wall clock,still winter,tempslibre
appalachian spring-,carbide carbuncles,in the coal oil light,tempslibre
moon hare-,bloody gloves lay,on the ice,tempslibre
frosty dawn-,the dog watches me,pack my bag,tempslibre
campfire coffee. . .,condor wings glean,the first rays of sun,tempslibre
arctic air,soothes the desert heat . . .,blended whiskey,tempslibre
slate skys,chalk mark outlines,on the sidewalk,tempslibre
peach moon . . .,the thin slice left,for us,tempslibre
grassy moon,we slip off our shoes,to count the stars,tempslibre
garden embrace,the fresh smell of her,sun dried laundry,tempslibre
kitchen embrace,the smell of her hot,apple pie,tempslibre
farewell embrace,a faint essence,of mothballs,tempslibre
montana morning,the horses with their backs,to blowing snow,tempslibre
street light sway ~,dreams of her linger,with the storm,tempslibre
Sack of cheeries ~,clouds grow dark on the road,to the coast,tempslibre
salmon sunrise,a splash resounds over,the calm bay,tempslibre
farmer's market,she paints a flower,on a child's cheek,tempslibre
tandem bicycle,wind in our hair,a shared laugh,tempslibre
misty morning,echoes of blue jay cries,through the pines,tempslibre
fresh brewed coffee,cream and sugar swirls,she stirs in her thoughts,tempslibre
spring breeze,blowing dandelions,in circles,tempslibre
dry haystack,flames climb higher,against the night sky,tempslibre
rainy morning,the haijin stirs,sugar in his coffee,tempslibre
alabaster moon ~,glowing among bare pine tops,in cool mountain mist,tempslibre
kissing her slowly,where the rain,never falls,tempslibre
family dispute,lily dust peppers,the table,tempslibre
after harsh words,we pull our chairs,into the sun,tempslibre
slammed door—,the orchid drops ,another bloom,tempslibre
tuning the piano—voices of night rain,,,tempslibre
lyrid meteor shower—,a blooming apple tree,at dusk,tempslibre
scramble of house sparrows—,a conference call,with my sisters,tempslibre
negative test—,blooming narcissus,in the trash pile,tempslibre
alone,at day’s end,driftwood,tempslibre
catching up,after forty years—,dust devils,tempslibre
blistering heat,a faint breeze moves,mountains,tempslibre
a magnifying glass,on the map of kyoto—,faraway so close,tempslibre
her blind date—,not enough spice,in the ratatouille ,tempslibre
before the rest ,of the world awakens,iris shoots,tempslibre
penumbra,around my shadow,hush of dusk,tempslibre
barbed wire around ,the abandoned orchard—,swollen buds,tempslibre
